Team,Matches played,Win,Draw,Loss,Goals Scored,Goals Conceded,Goal Difference,Points,Expected Goals Scored,Expected Goals Conceded,Expected Goal Difference,Expected Points
Manchester City,38,28,7,3,96,34,62,91,80.5,35.6,44.9,83.1
Arsenal,38,28,5,5,91,29,62,89,76.1,27.9,48.2,81.9
Liverpool,38,24,10,4,86,41,45,82,87.8,45.7,42,76.9
Aston Villa,38,20,8,10,76,61,15,68,63.3,59.9,3.4,55.4
Tottenham,38,20,6,12,74,61,15,66,68.2,63.4,4.8,57.4
Chelsea,38,18,9,11,77,63,14,63,74.5,58.1,16.4,64.2
Newcastle,38,18,6,14,85,62,23,60,76,61.4,14.6,65.6
Manchester United,38,18,6,14,57,58,-1,60,56.5,68.9,-12.5,44.4
West Ham,38,14,10,14,60,74,-6,52,52.3,71.1,-18.8,41.3
Crystal Palace,38,13,10,15,57,58,-1,49,48.6,52,-3.4,50.5
Brighton,38,12,12,14,55,62,-7,48,56.8,55.4,1.4,54.4
Bournemouth,38,13,9,16,54,67,-13,48,55.9,58.1,-2.2,53.1
Fulham,38,13,8,17,55,61,-6,47,50.8,62.9,-12.1,53.5
Wolves,38,13,7,18,50,65,-15,46,46.7,67.7,-21,45
Everton,38,13,9,16,40,51,-11,40,54,55.2,-1.2,39.8
Brentford,38,10,9,19,56,65,-9,39,58.2,56,2.2,52.9
Nottingham Forest,38,9,9,20,49,67,-18,32,49.9,53.2,-3.3,50.1
Luton,38,6,8,24,52,85,-33,26,42.4,78,-35.5,32.3
Burnley,38,5,9,24,41,78,-37,24,40.6,70.4,-29.7,33.7
Sheffieid United,38,3,7,28,35,104,-69,16,38.3,76.7,-38.4,28.5