Rank,Team,Matches played,Win,Draw,Loss,Goals Scored,Goals Conceded,Goal Difference,Points,Expected Goals Scored,Expected Goals Conceded,Expected Goal Difference,Expected Points
1,Manchester City,38,29,6,3,99,26,73,93,88.7,24.6,64,91.9
2,Liverpool,38,28,8,2,94,26,68,92,88.7,33.8,54.9,86.6
3,Chelsea,38,21,11,6,76,33,43,74,63.4,33.2,30.1,73.4
4,Tottenham,38,22,5,11,69,40,29,71,61.2,39.3,21.9,66.1
5,Arsenal,38,22,3,13,61,48,13,69,60.5,45.7,14.9,64.8
6,Manchester United,38,16,10,12,57,57,0,58,55.8,53,2.8,54.5
7,West Ham ,38,16,8,13,60,51,9,56,51.4,53.5,-2.1,53.6
8,Leicester City,38,14,10,14,62,59,3,52,47.8,59.3,-11.5,42.3
9,Brighton,38,12,15,11,42,44,-2,51,46.2,42.9,3.3,54.2
10,Wolves,38,15,6,17,38,43,-5,51,37.5,56.9,-19.4,40.5
11,Newcastle,38,13,10,15,44,62,-18,49,38.1,57.1,-19,41.5
12,Crystal Palace,38,11,15,12,50,46,4,48,46.4,40.7,5.7,58.2
13,Brentford,38,13,7,18,48,56,-8,46,45.8,48.5,-2.7,56
14,Aston Villa,38,13,6,19,52,54,-2,45,44,49,-5,46.2
15,Southampton,38,9,13,16,43,67,-24,40,44.8,60,-15.2,43.5
16,Everton,38,11,6,21,43,66,-23,39,41.2,55.4,-14.2,43.5
17,Leeds,38,9,11,18,42,79,-37,38,44.4,67.8,-23.5,43.9
18,Burnley,38,7,14,17,34,53,-19,35,39.7,57.1,-17.4,38.1
19,Watford,38,6,5,27,34,77,-43,23,40,64.5,-24.5,35.5
20,Norwich,38,5,7,26,23,84,-61,22,32.3,75.5,-43.2,25